date,value
2012/11/16,347473
2012/11/9,348939
2012/11/2,347850
2012/10/26,346303
2012/10/19,348348
2012/10/12,342452
2012/10/5,339592
2012/9/28,338080
2012/9/21,338562
2012/9/14,341008
2012/9/7,332474
2012/8/31,331065
2012/8/24,338491
2012/8/17,334713
2012/8/10,340125
2012/8/3,343824
2012/7/27,347599
2012/7/20,354121
2012/7/13,351404
2012/7/6,352213
2012/6/29,357068
2012/6/22,361338
2012/6/15,361471
2012/6/8,358610
2012/6/1,358801
2012/5/25,360564
2012/5/18,358351
2012/5/11,357468
2012/5/4,355340
2012/4/27,350051
2012/4/20,347211
2012/4/13,343233
2012/4/6,339377
2012/3/30,336811
2012/3/23,327802
2012/3/16,320700
2012/3/9,321862
2012/3/2,320112
2012/2/24,319264
2012/2/17,315104
2012/2/10,313471
2012/2/3,313642
2012/1/27,313351
2012/1/20,309176
2012/1/13,305618
2012/1/6,309056
2011/12/30,307231
2011/12/23,305022
2011/12/16,301123
2011/12/9,311693
2011/12/2,313625
2011/11/25,312476
2011/11/18,308544
2011/11/11,314763
2011/11/4,315819
2011/10/28,317407
2011/10/21,315581
2011/10/14,310846
2011/10/7,315575
2011/9/30,314342
2011/9/23,319021
2011/9/16,317106
2011/9/9,324442
2011/9/2,331146
2011/8/26,335107
2011/8/19,329826
2011/8/12,332039
2011/8/5,327806
2011/7/29,332927
2011/7/22,331977
2011/7/15,329681
2011/7/8,333408
2011/7/1,336532
2011/6/24,337405
2011/6/17,341780
2011/6/10,343491
2011/6/3,346897
2011/5/27,351529
2011/5/20,348651
2011/5/13,348035
2011/5/6,348050
2011/4/29,344418
2011/4/22,340997
2011/4/15,334841
2011/4/8,337163
2011/4/1,335536
2011/3/25,333920
2011/3/18,330975
2011/3/11,328844
2011/3/4,327099
2011/2/25,324722
2011/2/18,325086
2011/2/11,324264
2011/2/4,323404
2011/1/28,321573
2011/1/21,318979
2011/1/14,314143
2011/1/7,311526
2010/12/31,313918
2010/12/24,318079
2010/12/17,319337
2010/12/10,324670
2010/12/3,334524
2010/11/26,338658
2010/11/19,337592
2010/11/12,336563
2010/11/5,343849
2010/10/29,347394
2010/10/22,345444
2010/10/15,340437
2010/10/8,339770
2010/10/1,340186
2010/9/24,337343
2010/9/17,337818
2010/9/10,336848
2010/9/3,339337
2010/8/27,341105
2010/8/20,337680
2010/8/13,333572
2010/8/6,334390
2010/7/30,337388
2010/7/23,340172
2010/7/16,332864
2010/7/9,332504
2010/7/2,337562
2010/6/25,342606
2010/6/18,344613
2010/6/11,342596
2010/6/4,340906
2010/5/28,342581
2010/5/21,344483
2010/5/14,342023
2010/5/7,341861
2010/4/30,339942
2010/4/23,337187
2010/4/16,335224
2010/4/9,333330
2010/4/2,335532
2010/3/26,333386
2010/3/19,330457
2010/3/12,323212
2010/3/5,322200
2010/2/26,320730
2010/2/19,316696
2010/2/12,313662
2010/2/5,310577
2010/1/29,308283
2010/1/22,305966
2010/1/15,309854
2010/1/8,310325
2010/1/1,306626
2009/12/25,307969
2009/12/18,309507
2009/12/11,314348
2009/12/4,318037
2009/11/27,321832
2009/11/20,319741
2009/11/13,318722
2009/11/6,319609
2009/10/30,317821
2009/10/23,321757
2009/10/16,320979
